pair_id,reference_item_id,verification_item_id,label,avg_inlier_descriptor_distance,glcm_distance,glcm_similarity,lbp_similarity,normalized_match_count,ransac_inlier_ratio,reprojection_error,spatial_spread
pair_00000,20260820_140321,20260820_140321_aug00,1,26.321888412017167,0.0317271389067173,0.9682728610932827,0.989545266975871,0.41889483065953653,0.9914893617021276,1.1445548775827155,0.23357849344029094
pair_00001,20260820_140321,20260820_140321_aug01,1,29.994475138121548,0.024809574708342552,0.9751904252916574,0.9908707623294764,0.3458646616541353,0.9836956521739131,0.7704898337210061,0.26297455298481504
pair_00002,20260820_140321,20260820_140321_aug02,1,11.628378378378379,0.045007213950157166,0.9549927860498428,0.9866373516260656,0.8345864661654135,1.0,0.03219755208322057,0.2528930722619407
pair_00003,20260820_140324,20260820_140324_aug00,1,14.5,0.006021530833095312,0.9939784691669047,0.9844264105489188,0.48148148148148145,0.9230769230769231,1.0964956798318777,0.0051207299265811895
pair_00004,20260820_140324,20260820_140324_aug01,1,19.833333333333332,0.2602638006210327,0.7397361993789673,0.917768850797336,0.16666666666666666,1.0,0.6189052479464459,0.0029801234385287145
pair_00005,20260820_140324,20260820_140324_aug02,1,0.0,0.0,1.0,0.9999518164846373,1.0,1.0,2.123708769374724e-14,0.07833859592822365
pair_00006,20260820_140327,20260820_140327_aug00,1,23.699481865284973,0.011365446262061596,0.9886345537379384,0.982509510446733,0.395112016293279,0.9948453608247423,0.9101783668625041,0.16192766984431084
pair_00007,20260820_140327,20260820_140327_aug01,1,24.94396551724138,0.2266310304403305,0.7733689695596695,0.9475158544430751,0.4786150712830957,0.9872340425531915,0.7515547516472089,0.2034724338445812
pair_00008,20260820_140327,20260820_140327_aug02,1,0.39549180327868855,0.00015643271035514772,0.9998435672896449,0.9996570026705175,0.9938900203665988,1.0,2.6114786463867888e-14,0.2285729936860425
pair_00009,20260820_185801,20260820_185801_aug00,1,21.87908496732026,0.014158795587718487,0.9858412044122815,0.9959727434884101,0.5873320537428023,1.0,0.820312215270712,0.41266753915580917
pair_00010,20260820_185801,20260820_185801_aug01,1,27.958333333333332,0.048608385026454926,0.9513916149735451,0.9906159284883147,0.2802303262955854,0.9863013698630136,0.8175359151152003,0.36436127798515366
pair_00011,20260820_185801,20260820_185801_aug02,1,5.945454545454545,0.007033381145447493,0.9929666188545525,0.9921715790705664,0.9500959692898272,1.0,0.018041004876513007,0.4327453741279895
pair_00012,20260820_185812,20260820_185812_aug00,1,18.876543209876544,0.007973565720021725,0.9920264342799783,0.9918260239533561,0.5225806451612903,1.0,0.8865789690272943,0.31029908385826266
pair_00013,20260820_185812,20260820_185812_aug01,1,19.964912280701753,0.02695554494857788,0.9730444550514221,0.9931520308617275,0.36774193548387096,1.0,0.9280099604897465,0.4164327867934481
pair_00014,20260820_185812,20260820_185812_aug02,1,0.025806451612903226,0.0002010812604567036,0.9997989187395433,0.9997224406281398,1.0,1.0,4.643701129518794e-14,0.44316498566563234
pair_00015,20260820_185831,20260820_185831_aug00,1,23.453416149068325,0.023683883249759674,0.9763161167502403,0.9893950907154652,0.3744186046511628,1.0,1.0757132657042712,0.3198688457827089
pair_00016,20260820_185831,20260820_185831_aug01,1,22.659574468085108,0.2880071997642517,0.7119928002357483,0.8972249732518197,0.2064516129032258,0.9791666666666666,0.7896906064361782,0.277385170638655
pair_00017,20260820_185831,20260820_185831_aug02,1,0.5284360189573459,0.0022487202659249306,0.9977512797340751,0.9985582005649315,0.9813953488372092,1.0,0.008453904766446895,0.3940271294643988
pair_00018,20260820_185833,20260820_185833_aug00,1,20.054054054054053,0.017953544855117798,0.9820464551448822,0.9848497219410568,0.5138888888888888,1.0,1.1214167735664282,0.132754317991286
pair_00019,20260820_185833,20260820_185833_aug01,1,14.714285714285714,0.023161597549915314,0.9768384024500847,0.9824001543461609,0.5972222222222222,0.9767441860465116,0.8538314411123524,0.24959686870695166
